onset	duration	dsgn_onset	dsgn_duration	trial_type	database	identifier	valence	arousal
12.016	1.989	12.000	2.000	ex_stim	iaps	1750	8.28	4.1
16.398	1.986	16.368	2.000	ex_stim	iaps	5982	7.61	4.51
21.323	1.984	21.297	2.000	in_stim	iaps	2210	4.38	3.56
23.307	2.018	23.297	2.000	in_prep	n/a	n/a	n/a	n/a
25.325	8.007	25.297	8.000	in_feel	n/a	n/a	n/a	n/a
35.554	1.993	35.528	2.000	in_stim	iaps	1630	7.26	4.45
37.547	2.017	37.528	2.000	in_prep	n/a	n/a	n/a	n/a
39.564	7.968	39.528	8.000	in_feel	n/a	n/a	n/a	n/a
52.761	1.984	52.726	2.000	ex_stim	iaps	2540	7.63	3.97
58.540	1.984	58.518	2.000	ex_stim	iaps	9120	3.2	5.77
62.814	1.984	62.784	2.000	ex_stim	iaps	4641	7.2	5.43
70.713	1.982	70.686	2.000	ex_stim	iaps	7100	5.24	2.89
75.914	2.017	75.906	2.000	ex_stim	iaps	2520	4.13	4.22
80.770	1.983	80.740	2.000	ex_stim	iaps	1050	3.46	6.87
87.231	1.983	87.202	2.000	in_stim	iaps	5623	7.19	5.67
89.214	2.018	89.202	2.000	in_prep	n/a	n/a	n/a	n/a
91.232	7.979	91.202	8.000	in_feel	n/a	n/a	n/a	n/a
104.382	2.017	104.377	2.000	in_stim	iaps	1710	8.34	5.41
106.399	1.984	106.377	2.000	in_prep	n/a	n/a	n/a	n/a
108.383	7.999	108.377	8.000	in_feel	n/a	n/a	n/a	n/a
121.067	2.017	121.066	2.000	in_stim	iaps	9623	3.04	6.05
123.084	1.985	123.066	2.000	in_prep	n/a	n/a	n/a	n/a
125.069	8.000	125.066	8.000	in_feel	n/a	n/a	n/a	n/a
135.954	1.982	135.927	2.000	ex_stim	iaps	4503	6	4.93
142.654	1.983	142.639	2.000	ex_stim	iaps	9832	2.94	4.46
147.064	2.016	147.055	2.000	ex_stim	iaps	9360	4.03	2.63
153.832	2.018	153.832	2.000	ex_stim	iaps	7175	4.87	1.72
161.088	1.984	161.076	2.000	ex_stim	iaps	4619	6.46	5.09
168.958	1.986	168.939	2.000	ex_stim	iaps	3310	4.37	5.43
176.280	1.985	176.255	2.000	ex_stim	iaps	1022	4.26	6.02
183.800	1.982	183.780	2.000	ex_stim	iaps	2020	5.68	3.34
190.058	2.017	190.061	2.000	ex_stim	iaps	6300	2.59	6.61
197.758	1.984	197.739	2.000	ex_stim	iaps	7211	4.81	4.2
202.135	2.015	202.128	2.000	ex_stim	iaps	9331	2.87	3.85
206.507	1.984	206.496	2.000	ex_stim	iaps	9622	3.1	6.26
213.313	2.016	213.305	2.000	in_stim	iaps	1610	7.82	3.08
215.329	1.995	215.305	2.000	in_prep	n/a	n/a	n/a	n/a
217.324	8.009	217.305	8.000	in_feel	n/a	n/a	n/a	n/a
227.830	1.983	227.816	2.000	ex_stim	iaps	4531	5.81	4.28
234.361	1.983	234.350	2.000	ex_stim	iaps	3250	3.78	6.29
242.258	2.017	242.263	2.000	in_stim	iaps	3170	1.46	7.21
244.275	1.982	244.263	2.000	in_prep	n/a	n/a	n/a	n/a
246.257	7.998	246.263	8.000	in_feel	n/a	n/a	n/a	n/a
257.544	1.982	257.531	2.000	ex_stim	iaps	9254	2.03	6.04
263.833	1.982	263.812	2.000	ex_stim	iaps	8475	4.85	6.52
269.029	1.983	269.024	2.000	ex_stim	iaps	4626	7.6	5.78
274.365	2.017	274.371	2.000	in_stim	iaps	5972	3.85	6.34
276.382	1.990	276.371	2.000	in_prep	n/a	n/a	n/a	n/a
278.372	8.016	278.371	8.000	in_feel	n/a	n/a	n/a	n/a
290.902	1.983	290.893	2.000	in_stim	iaps	5920	5.16	6.23
292.885	2.016	292.893	2.000	in_prep	n/a	n/a	n/a	n/a
294.901	8.002	294.893	8.000	in_feel	n/a	n/a	n/a	n/a
308.342	2.018	308.353	2.000	ex_stim	iaps	9435	2.27	5
