onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.000	rest	n/a	n/a
42.001	4.001	fb_v_pos	0.000	0.000
46.002	9.998	feel	n/a	n/a
56.000	4.002	fb_v_pos	0.206	-0.237
60.002	10.000	feel	n/a	n/a
70.002	3.999	fb_v_pos	0.771	-0.237
74.001	10.000	feel	n/a	n/a
84.001	4.000	fb_v_pos	0.854	0.777
88.001	10.000	feel	n/a	n/a
98.001	4.000	fb_v_pos	0.883	0.091
102.001	9.999	rest	n/a	n/a
112.000	4.001	fb_a_pos	0.000	0.000
116.001	10.000	feel	n/a	n/a
126.001	4.000	fb_a_pos	-0.580	-0.431
130.001	10.000	feel	n/a	n/a
140.001	4.000	fb_a_pos	-0.391	-0.106
144.001	9.999	feel	n/a	n/a
154.000	4.001	fb_a_pos	0.091	0.400
158.001	10.000	feel	n/a	n/a
168.001	4.000	fb_a_pos	-0.323	-0.397
172.001	9.999	rest	n/a	n/a
182.000	4.001	fb_v_neg	0.000	0.000
186.001	9.999	feel	n/a	n/a
196.000	4.002	fb_v_neg	-0.571	0.194
200.002	10.000	feel	n/a	n/a
210.002	3.999	fb_v_neg	-0.154	-0.103
214.001	10.001	feel	n/a	n/a
224.002	4.001	fb_v_neg	0.577	-0.063
228.003	9.999	feel	n/a	n/a
238.002	4.000	fb_v_neg	-0.334	0.249
242.002	10.000	rest	n/a	n/a
252.002	3.998	fb_a_neg	0.000	0.000
256.000	10.002	feel	n/a	n/a
266.002	4.000	fb_a_neg	0.366	-0.334
270.002	9.998	feel	n/a	n/a
280.000	4.000	fb_a_neg	-0.800	-0.280
284.000	10.002	feel	n/a	n/a
294.002	3.998	fb_a_neg	-0.151	0.420
298.000	10.000	feel	n/a	n/a
308.000	4.001	fb_a_neg	-0.614	0.291
312.001	9.999	rest	n/a	n/a
322.000	4.000	fb_a_pos	0.000	0.000
326.000	10.001	feel	n/a	n/a
336.001	4.001	fb_a_pos	-0.094	0.711
340.002	10.000	feel	n/a	n/a
350.002	3.999	fb_a_pos	0.226	0.514
354.001	10.000	feel	n/a	n/a
364.001	4.002	fb_a_pos	-0.037	0.826
368.003	9.999	feel	n/a	n/a
378.002	4.000	fb_a_pos	-0.246	0.100
382.002	10.000	rest	n/a	n/a
392.002	3.998	fb_v_neg	0.000	0.000
396.000	10.001	feel	n/a	n/a
406.001	3.999	fb_v_neg	0.697	0.743
410.000	10.001	feel	n/a	n/a
420.001	4.001	fb_v_neg	0.077	0.194
424.002	9.999	feel	n/a	n/a
434.001	4.001	fb_v_neg	-0.660	0.174
438.002	9.999	feel	n/a	n/a
448.001	4.001	fb_v_neg	-0.309	0.411
452.002	10.000	rest	n/a	n/a
462.002	3.999	fb_v_pos	0.000	0.000
466.001	10.001	feel	n/a	n/a
476.002	3.999	fb_v_pos	-0.183	0.077
480.001	10.001	feel	n/a	n/a
490.002	3.999	fb_v_pos	0.463	-0.111
494.001	10.000	feel	n/a	n/a
504.001	4.000	fb_v_pos	0.031	-0.120
508.001	10.001	feel	n/a	n/a
518.002	4.000	fb_v_pos	0.086	-0.426
522.002	9.999	rest	n/a	n/a
532.001	4.001	fb_a_neg	0.000	0.000
536.002	9.999	feel	n/a	n/a
546.001	4.001	fb_a_neg	-0.231	0.617
550.002	9.999	feel	n/a	n/a
560.001	4.000	fb_a_neg	-0.054	-0.400
564.001	10.000	feel	n/a	n/a
574.001	4.001	fb_a_neg	-0.151	-0.740
578.002	10.000	feel	n/a	n/a
588.002	3.999	fb_a_neg	-0.349	-0.617
592.001	27.999	finish	n/a	n/a
