onset	duration	trial_type	fb_valence	fb_arousal
0.002	42.000	rest	n/a	n/a
42.002	4.000	fb_a_neg	0.000	0.000
46.002	10.000	feel	n/a	n/a
56.002	3.999	fb_a_neg	-0.654	0.980
60.001	10.000	feel	n/a	n/a
70.001	3.999	fb_a_neg	0.131	0.029
74.000	10.001	feel	n/a	n/a
84.001	4.001	fb_a_neg	0.131	-0.411
88.002	10.000	feel	n/a	n/a
98.002	3.999	fb_a_neg	-0.146	0.303
102.001	10.000	rest	n/a	n/a
112.001	4.000	fb_v_pos	0.000	0.000
116.001	10.000	feel	n/a	n/a
126.001	3.999	fb_v_pos	-0.931	0.414
130.000	10.002	feel	n/a	n/a
140.002	3.999	fb_v_pos	-0.483	-0.577
144.001	10.001	feel	n/a	n/a
154.002	3.999	fb_v_pos	0.446	-0.343
158.001	10.000	feel	n/a	n/a
168.001	4.002	fb_v_pos	-0.206	0.209
172.003	9.997	rest	n/a	n/a
182.000	4.002	fb_a_pos	0.000	0.000
186.002	10.000	feel	n/a	n/a
196.002	4.000	fb_a_pos	-0.297	0.760
200.002	10.000	feel	n/a	n/a
210.002	4.000	fb_a_pos	-0.151	0.754
214.002	9.999	feel	n/a	n/a
224.001	4.000	fb_a_pos	0.729	0.131
228.001	9.999	feel	n/a	n/a
238.000	4.002	fb_a_pos	-0.297	-0.783
242.002	10.000	rest	n/a	n/a
252.002	3.999	fb_v_neg	0.000	0.000
256.001	10.000	feel	n/a	n/a
266.001	4.000	fb_v_neg	-0.717	0.249
270.001	10.000	feel	n/a	n/a
280.001	4.001	fb_v_neg	-1.000	0.646
284.002	9.998	feel	n/a	n/a
294.000	4.002	fb_v_neg	-0.566	0.103
298.002	10.000	feel	n/a	n/a
308.002	3.999	fb_v_neg	-0.611	-0.871
312.001	10.000	rest	n/a	n/a
322.001	4.000	fb_v_pos	0.000	0.000
326.001	10.000	feel	n/a	n/a
336.001	3.999	fb_v_pos	-0.434	0.194
340.000	10.000	feel	n/a	n/a
350.000	4.001	fb_v_pos	0.271	-0.434
354.001	10.002	feel	n/a	n/a
364.003	3.998	fb_v_pos	-0.411	-0.469
368.001	9.999	feel	n/a	n/a
378.000	4.002	fb_v_pos	-0.129	-0.326
382.002	10.000	rest	n/a	n/a
392.002	4.000	fb_a_pos	0.000	0.000
396.002	10.000	feel	n/a	n/a
406.002	3.999	fb_a_pos	-0.780	0.349
410.001	10.000	feel	n/a	n/a
420.001	4.000	fb_a_pos	0.186	0.806
424.001	10.001	feel	n/a	n/a
434.002	4.000	fb_a_pos	0.726	0.700
438.002	9.998	feel	n/a	n/a
448.000	4.002	fb_a_pos	0.697	0.886
452.002	10.000	rest	n/a	n/a
462.002	3.999	fb_a_neg	0.000	0.000
466.001	10.001	feel	n/a	n/a
476.002	3.999	fb_a_neg	0.400	0.697
480.001	10.000	feel	n/a	n/a
490.001	4.001	fb_a_neg	0.414	0.843
494.002	10.000	feel	n/a	n/a
504.002	4.000	fb_a_neg	-0.026	-0.020
508.002	10.000	feel	n/a	n/a
518.002	3.998	fb_a_neg	-0.663	0.571
522.000	10.002	rest	n/a	n/a
532.002	3.999	fb_v_neg	0.000	0.000
536.001	9.999	feel	n/a	n/a
546.000	4.001	fb_v_neg	-1.000	0.506
550.001	10.000	feel	n/a	n/a
560.001	3.999	fb_v_neg	-0.726	0.671
564.000	10.001	feel	n/a	n/a
574.001	4.001	fb_v_neg	-0.434	-0.031
578.002	9.998	feel	n/a	n/a
588.000	4.002	fb_v_neg	-0.274	0.980
592.002	27.998	finish	n/a	n/a
