onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.000	rest	n/a	n/a
42.001	4.001	fb_v_pos	0.000	0.000
46.002	10.000	feel	n/a	n/a
56.002	4.000	fb_v_pos	0.031	-0.074
60.002	9.999	feel	n/a	n/a
70.001	4.001	fb_v_pos	0.771	-0.386
74.002	9.999	feel	n/a	n/a
84.001	3.999	fb_v_pos	0.854	0.869
88.000	10.002	feel	n/a	n/a
98.002	3.999	fb_v_pos	0.883	0.151
102.001	9.999	rest	n/a	n/a
112.000	4.001	fb_a_pos	0.000	0.000
116.001	10.000	feel	n/a	n/a
126.001	4.000	fb_a_pos	-0.580	-0.431
130.001	10.000	feel	n/a	n/a
140.001	4.000	fb_a_pos	-0.391	-0.106
144.001	9.999	feel	n/a	n/a
154.000	4.002	fb_a_pos	0.071	0.543
158.002	10.000	feel	n/a	n/a
168.002	4.000	fb_a_pos	-0.323	-0.397
172.002	9.999	rest	n/a	n/a
182.001	4.000	fb_v_neg	0.000	0.000
186.001	10.000	feel	n/a	n/a
196.001	3.999	fb_v_neg	-0.571	0.194
200.000	10.002	feel	n/a	n/a
210.002	3.998	fb_v_neg	-0.154	-0.103
214.000	10.002	feel	n/a	n/a
224.002	3.999	fb_v_neg	0.471	0.040
228.001	10.001	feel	n/a	n/a
238.002	4.000	fb_v_neg	-0.334	0.249
242.002	9.999	rest	n/a	n/a
252.001	4.002	fb_a_neg	0.000	0.000
256.003	9.997	feel	n/a	n/a
266.000	4.002	fb_a_neg	0.183	-0.354
270.002	10.000	feel	n/a	n/a
280.002	4.000	fb_a_neg	-0.757	-0.157
284.002	10.000	feel	n/a	n/a
294.002	3.998	fb_a_neg	-0.151	0.420
298.000	10.002	feel	n/a	n/a
308.002	3.999	fb_a_neg	-0.691	0.271
312.001	9.999	rest	n/a	n/a
322.000	4.001	fb_a_pos	0.000	0.000
326.001	10.001	feel	n/a	n/a
336.002	3.999	fb_a_pos	-0.094	0.711
340.001	10.000	feel	n/a	n/a
350.001	4.000	fb_a_pos	0.203	0.589
354.001	10.000	feel	n/a	n/a
364.001	3.999	fb_a_pos	0.009	0.766
368.000	10.002	feel	n/a	n/a
378.002	4.000	fb_a_pos	-0.246	0.100
382.002	10.000	rest	n/a	n/a
392.002	4.000	fb_v_neg	0.000	0.000
396.002	9.999	feel	n/a	n/a
406.001	4.000	fb_v_neg	0.697	0.743
410.001	10.000	feel	n/a	n/a
420.001	4.000	fb_v_neg	0.317	0.320
424.001	9.999	feel	n/a	n/a
434.000	4.002	fb_v_neg	-0.660	0.174
438.002	9.998	feel	n/a	n/a
448.000	4.000	fb_v_neg	-0.309	0.411
452.000	10.003	rest	n/a	n/a
462.003	3.998	fb_v_pos	0.000	0.000
466.001	10.000	feel	n/a	n/a
476.001	3.999	fb_v_pos	-0.466	0.269
480.000	10.000	feel	n/a	n/a
490.000	4.002	fb_v_pos	0.463	-0.111
494.002	10.000	feel	n/a	n/a
504.002	3.999	fb_v_pos	0.031	-0.120
508.001	10.000	feel	n/a	n/a
518.001	4.000	fb_v_pos	0.086	-0.426
522.001	10.002	rest	n/a	n/a
532.003	3.997	fb_a_neg	0.000	0.000
536.000	10.001	feel	n/a	n/a
546.001	4.001	fb_a_neg	-0.337	0.429
550.002	10.000	feel	n/a	n/a
560.002	4.000	fb_a_neg	-0.054	-0.400
564.002	10.000	feel	n/a	n/a
574.002	3.999	fb_a_neg	-0.151	-0.740
578.001	9.999	feel	n/a	n/a
588.000	4.000	fb_a_neg	-0.349	-0.617
592.000	28.000	finish	n/a	n/a
