onset	duration	trial_type	fb_valence	fb_arousal
0.001	41.999	rest	n/a	n/a
42.000	4.000	fb_a_pos	0.000	0.000
46.000	10.002	feel	n/a	n/a
56.002	4.000	fb_a_pos	-0.489	-0.151
60.002	10.000	feel	n/a	n/a
70.002	3.999	fb_a_pos	0.131	0.914
74.001	10.000	feel	n/a	n/a
84.001	3.999	fb_a_pos	0.863	0.540
88.000	10.002	feel	n/a	n/a
98.002	3.998	fb_a_pos	0.220	-0.160
102.000	10.001	rest	n/a	n/a
112.001	4.000	fb_v_neg	0.000	0.000
116.001	10.000	feel	n/a	n/a
126.001	4.001	fb_v_neg	-0.331	0.980
130.002	9.999	feel	n/a	n/a
140.001	4.000	fb_v_neg	0.237	0.511
144.001	10.000	feel	n/a	n/a
154.001	4.001	fb_v_neg	-0.166	0.383
158.002	9.998	feel	n/a	n/a
168.000	4.002	fb_v_neg	-0.717	-0.240
172.002	10.001	rest	n/a	n/a
182.003	3.997	fb_v_pos	0.000	0.000
186.000	10.001	feel	n/a	n/a
196.001	3.999	fb_v_pos	0.271	-0.226
200.000	10.001	feel	n/a	n/a
210.001	4.001	fb_v_pos	0.414	-1.000
214.002	9.998	feel	n/a	n/a
224.000	4.001	fb_v_pos	0.131	-0.717
228.001	10.000	feel	n/a	n/a
238.001	4.000	fb_v_pos	-0.094	-0.994
242.001	10.000	rest	n/a	n/a
252.001	3.999	fb_a_neg	0.000	0.000
256.000	10.000	feel	n/a	n/a
266.000	4.002	fb_a_neg	0.086	0.429
270.002	10.000	feel	n/a	n/a
280.002	3.999	fb_a_neg	-0.151	-0.040
284.001	10.000	feel	n/a	n/a
294.001	4.001	fb_a_neg	0.397	0.577
298.002	9.999	feel	n/a	n/a
308.001	3.999	fb_a_neg	0.106	0.980
312.000	10.000	rest	n/a	n/a
322.000	4.002	fb_v_pos	0.000	0.000
326.002	9.999	feel	n/a	n/a
336.001	4.000	fb_v_pos	-0.066	-0.403
340.001	10.000	feel	n/a	n/a
350.001	4.000	fb_v_pos	0.131	-0.577
354.001	10.001	feel	n/a	n/a
364.002	4.000	fb_v_pos	0.697	-0.411
368.002	10.000	feel	n/a	n/a
378.002	3.999	fb_v_pos	0.131	-0.134
382.001	10.001	rest	n/a	n/a
392.002	3.999	fb_a_pos	0.000	0.000
396.001	9.999	feel	n/a	n/a
406.000	4.001	fb_a_pos	-0.717	0.180
410.001	10.000	feel	n/a	n/a
420.001	3.999	fb_a_pos	-0.043	-0.717
424.000	10.002	feel	n/a	n/a
434.002	4.000	fb_a_pos	0.031	-0.434
438.002	10.000	feel	n/a	n/a
448.002	3.999	fb_a_pos	0.063	-0.717
452.001	10.000	rest	n/a	n/a
462.001	4.001	fb_v_neg	0.000	0.000
466.002	9.998	feel	n/a	n/a
476.000	4.002	fb_v_neg	-1.000	0.383
480.002	9.998	feel	n/a	n/a
490.000	4.001	fb_v_neg	-0.717	0.826
494.001	10.000	feel	n/a	n/a
504.001	3.999	fb_v_neg	0.191	0.980
508.000	10.000	feel	n/a	n/a
518.000	4.002	fb_v_neg	0.337	0.980
522.002	10.000	rest	n/a	n/a
532.002	4.000	fb_a_neg	0.000	0.000
536.002	9.998	feel	n/a	n/a
546.000	4.001	fb_a_neg	-0.717	0.980
550.001	10.002	feel	n/a	n/a
560.003	3.998	fb_a_neg	0.154	0.980
564.001	10.000	feel	n/a	n/a
574.001	4.001	fb_a_neg	-0.120	0.463
578.002	9.998	feel	n/a	n/a
588.000	4.002	fb_a_neg	-0.471	0.474
592.002	27.998	finish	n/a	n/a
