onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.000	rest	n/a	n/a
42.001	3.999	fb_v_pos	0.000	0.000
46.000	10.000	feel	n/a	n/a
56.000	4.001	fb_v_pos	0.406	0.003
60.001	10.001	feel	n/a	n/a
70.002	4.000	fb_v_pos	0.043	0.220
74.002	10.000	feel	n/a	n/a
84.002	4.000	fb_v_pos	0.217	-0.149
88.002	9.999	feel	n/a	n/a
98.001	4.001	fb_v_pos	0.460	-0.003
102.002	9.999	rest	n/a	n/a
112.001	4.001	fb_a_pos	0.000	0.000
116.002	9.999	feel	n/a	n/a
126.001	4.001	fb_a_pos	0.929	0.109
130.002	10.000	feel	n/a	n/a
140.002	4.000	fb_a_pos	0.534	0.203
144.002	9.999	feel	n/a	n/a
154.001	4.000	fb_a_pos	0.291	0.549
158.001	9.999	feel	n/a	n/a
168.000	4.001	fb_a_pos	0.303	-0.254
172.001	10.000	rest	n/a	n/a
182.001	4.000	fb_a_neg	0.000	0.000
186.001	10.001	feel	n/a	n/a
196.002	3.999	fb_a_neg	0.466	0.129
200.001	10.000	feel	n/a	n/a
210.001	4.000	fb_a_neg	0.540	0.023
214.001	10.000	feel	n/a	n/a
224.001	4.000	fb_a_neg	0.054	-0.529
228.001	10.001	feel	n/a	n/a
238.002	4.000	fb_a_neg	-0.034	-0.209
242.002	10.000	rest	n/a	n/a
252.002	4.000	fb_v_neg	0.000	0.000
256.002	10.000	feel	n/a	n/a
266.002	3.998	fb_v_neg	0.106	-0.131
270.000	10.001	feel	n/a	n/a
280.001	4.001	fb_v_neg	-0.154	-0.297
284.002	9.999	feel	n/a	n/a
294.001	4.001	fb_v_neg	-0.066	-0.023
298.002	10.000	feel	n/a	n/a
308.002	3.999	fb_v_neg	-0.514	-0.106
312.001	10.000	rest	n/a	n/a
322.001	4.000	fb_a_neg	0.000	0.000
326.001	9.999	feel	n/a	n/a
336.000	4.002	fb_a_neg	0.060	0.077
340.002	9.998	feel	n/a	n/a
350.000	4.001	fb_a_neg	0.011	0.286
354.001	9.999	feel	n/a	n/a
364.000	4.002	fb_a_neg	-0.289	-0.694
368.002	9.999	feel	n/a	n/a
378.001	4.002	fb_a_neg	0.437	-0.460
382.003	9.998	rest	n/a	n/a
392.001	4.000	fb_v_pos	0.000	0.000
396.001	10.000	feel	n/a	n/a
406.001	4.001	fb_v_pos	0.020	0.451
410.002	10.000	feel	n/a	n/a
420.002	4.000	fb_v_pos	-0.280	0.857
424.002	10.000	feel	n/a	n/a
434.002	3.998	fb_v_pos	0.220	0.243
438.000	10.001	feel	n/a	n/a
448.001	3.999	fb_v_pos	0.291	0.814
452.000	10.002	rest	n/a	n/a
462.002	3.998	fb_a_pos	0.000	0.000
466.000	10.002	feel	n/a	n/a
476.002	4.000	fb_a_pos	0.146	-0.129
480.002	9.999	feel	n/a	n/a
490.001	4.001	fb_a_pos	0.246	-0.283
494.002	9.999	feel	n/a	n/a
504.001	4.001	fb_a_pos	0.574	-0.277
508.002	9.999	feel	n/a	n/a
518.001	4.001	fb_a_pos	-0.554	0.214
522.002	10.000	rest	n/a	n/a
532.002	4.000	fb_v_neg	0.000	0.000
536.002	9.999	feel	n/a	n/a
546.001	4.000	fb_v_neg	-0.600	0.254
550.001	10.000	feel	n/a	n/a
560.001	4.000	fb_v_neg	-0.300	0.360
564.001	10.001	feel	n/a	n/a
574.002	3.998	fb_v_neg	-0.131	0.031
578.000	10.002	feel	n/a	n/a
588.002	4.000	fb_v_neg	-0.511	-0.114
592.002	27.998	finish	n/a	n/a
