onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.000	rest	n/a	n/a
42.001	4.001	fb_v_pos	0.000	0.000
46.002	10.000	feel	n/a	n/a
56.002	4.000	fb_v_pos	0.154	-0.457
60.002	9.999	feel	n/a	n/a
70.001	4.001	fb_v_pos	0.780	-0.434
74.002	9.998	feel	n/a	n/a
84.000	4.000	fb_v_pos	0.586	-0.589
88.000	10.000	feel	n/a	n/a
98.000	4.001	fb_v_pos	0.166	0.063
102.001	10.001	rest	n/a	n/a
112.002	4.000	fb_a_pos	0.000	0.000
116.002	9.999	feel	n/a	n/a
126.001	4.000	fb_a_pos	-0.657	0.457
130.001	10.002	feel	n/a	n/a
140.003	3.999	fb_a_pos	-0.309	-0.240
144.002	9.998	feel	n/a	n/a
154.000	4.002	fb_a_pos	-0.054	-0.346
158.002	10.000	feel	n/a	n/a
168.002	4.000	fb_a_pos	0.340	0.391
172.002	10.000	rest	n/a	n/a
182.002	4.000	fb_a_neg	0.000	0.000
186.002	9.999	feel	n/a	n/a
196.001	4.000	fb_a_neg	0.434	-0.254
200.001	10.001	feel	n/a	n/a
210.002	3.998	fb_a_neg	0.814	0.777
214.000	10.001	feel	n/a	n/a
224.001	4.000	fb_a_neg	0.034	0.291
228.001	10.000	feel	n/a	n/a
238.001	4.001	fb_a_neg	0.414	0.131
242.002	9.999	rest	n/a	n/a
252.001	4.000	fb_v_neg	0.000	0.000
256.001	10.000	feel	n/a	n/a
266.001	4.001	fb_v_neg	0.074	0.354
270.002	9.998	feel	n/a	n/a
280.000	4.002	fb_v_neg	0.440	0.514
284.002	10.000	feel	n/a	n/a
294.002	3.999	fb_v_neg	0.623	0.537
298.001	10.000	feel	n/a	n/a
308.001	4.000	fb_v_neg	-0.803	0.511
312.001	9.999	rest	n/a	n/a
322.000	4.000	fb_a_neg	0.000	0.000
326.000	10.002	feel	n/a	n/a
336.002	3.999	fb_a_neg	0.540	0.240
340.001	9.999	feel	n/a	n/a
350.000	4.001	fb_a_neg	0.186	0.400
354.001	10.000	feel	n/a	n/a
364.001	4.000	fb_a_neg	0.663	0.003
368.001	9.999	feel	n/a	n/a
378.000	4.001	fb_a_neg	0.640	-0.000
382.001	9.999	rest	n/a	n/a
392.000	4.002	fb_v_pos	0.000	0.000
396.002	10.000	feel	n/a	n/a
406.002	4.000	fb_v_pos	0.317	0.134
410.002	9.999	feel	n/a	n/a
420.001	4.000	fb_v_pos	0.637	-0.134
424.001	10.001	feel	n/a	n/a
434.002	3.999	fb_v_pos	0.977	-0.194
438.001	9.999	feel	n/a	n/a
448.000	4.002	fb_v_pos	0.520	-0.249
452.002	9.999	rest	n/a	n/a
462.001	4.000	fb_a_pos	0.000	0.000
466.001	10.000	feel	n/a	n/a
476.001	4.000	fb_a_pos	0.460	-0.143
480.001	9.999	feel	n/a	n/a
490.000	4.002	fb_a_pos	0.543	0.269
494.002	9.998	feel	n/a	n/a
504.000	4.002	fb_a_pos	0.249	-0.157
508.002	10.000	feel	n/a	n/a
518.002	3.999	fb_a_pos	-0.106	0.491
522.001	9.999	rest	n/a	n/a
532.000	4.000	fb_v_neg	0.000	0.000
536.000	10.001	feel	n/a	n/a
546.001	4.001	fb_v_neg	-0.680	-0.089
550.002	10.000	feel	n/a	n/a
560.002	3.999	fb_v_neg	0.129	-0.580
564.001	10.001	feel	n/a	n/a
574.002	4.000	fb_v_neg	0.734	-0.534
578.002	9.999	feel	n/a	n/a
588.001	4.001	fb_v_neg	0.423	-0.854
592.002	27.998	finish	n/a	n/a
