onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.000	rest	n/a	n/a
42.001	4.000	fb_v_pos	0.000	0.000
46.001	10.000	feel	n/a	n/a
56.001	4.000	fb_v_pos	0.414	-0.434
60.001	10.002	feel	n/a	n/a
70.003	3.999	fb_v_pos	-0.151	-0.434
74.002	9.999	feel	n/a	n/a
84.001	3.999	fb_v_pos	-0.151	0.617
88.000	10.002	feel	n/a	n/a
98.002	4.001	fb_v_pos	0.449	0.900
102.003	9.997	rest	n/a	n/a
112.000	4.001	fb_a_pos	0.000	0.000
116.001	10.001	feel	n/a	n/a
126.002	3.999	fb_a_pos	0.109	-0.531
130.001	10.001	feel	n/a	n/a
140.002	4.000	fb_a_pos	-0.234	-0.380
144.002	10.001	feel	n/a	n/a
154.003	3.997	fb_a_pos	-0.023	-0.626
158.000	10.001	feel	n/a	n/a
168.001	4.002	fb_a_pos	-0.434	-0.391
172.003	10.000	rest	n/a	n/a
182.003	3.998	fb_v_neg	0.000	0.000
186.001	10.002	feel	n/a	n/a
196.003	3.999	fb_v_neg	-0.183	0.277
200.002	9.999	feel	n/a	n/a
210.001	4.001	fb_v_neg	-0.986	-0.249
214.002	9.999	feel	n/a	n/a
224.001	4.001	fb_v_neg	-0.717	-1.000
228.002	9.999	feel	n/a	n/a
238.001	4.000	fb_v_neg	0.134	-0.123
242.001	10.000	rest	n/a	n/a
252.001	4.000	fb_a_neg	0.000	0.000
256.001	9.999	feel	n/a	n/a
266.000	4.000	fb_a_neg	-0.166	-0.151
270.000	10.002	feel	n/a	n/a
280.002	3.998	fb_a_neg	0.711	-0.717
284.000	10.002	feel	n/a	n/a
294.002	3.998	fb_a_neg	0.414	-1.000
298.000	10.002	feel	n/a	n/a
308.002	3.999	fb_a_neg	-0.131	-0.717
312.001	10.001	rest	n/a	n/a
322.002	4.000	fb_a_pos	0.000	0.000
326.002	10.000	feel	n/a	n/a
336.002	4.000	fb_a_pos	0.483	0.414
340.002	10.000	feel	n/a	n/a
350.002	4.000	fb_a_pos	0.697	-0.263
354.002	9.999	feel	n/a	n/a
364.001	3.999	fb_a_pos	-0.037	-0.434
368.000	10.000	feel	n/a	n/a
378.000	4.001	fb_a_pos	-0.151	0.189
382.001	10.000	rest	n/a	n/a
392.001	4.000	fb_v_neg	0.000	0.000
396.001	10.000	feel	n/a	n/a
406.001	4.000	fb_v_neg	-0.434	-0.717
410.001	9.999	feel	n/a	n/a
420.000	4.001	fb_v_neg	0.069	-0.871
424.001	9.999	feel	n/a	n/a
434.000	4.001	fb_v_neg	-0.337	0.131
438.001	9.999	feel	n/a	n/a
448.000	4.001	fb_v_neg	0.511	-0.077
452.001	10.001	rest	n/a	n/a
462.002	4.000	fb_v_pos	0.000	0.000
466.002	9.999	feel	n/a	n/a
476.001	3.999	fb_v_pos	-0.717	0.194
480.000	10.002	feel	n/a	n/a
490.002	4.000	fb_v_pos	0.114	-0.877
494.002	9.999	feel	n/a	n/a
504.001	4.000	fb_v_pos	0.000	-0.554
508.001	10.001	feel	n/a	n/a
518.002	4.000	fb_v_pos	-0.103	0.131
522.002	10.000	rest	n/a	n/a
532.002	4.000	fb_a_neg	0.000	0.000
536.002	9.999	feel	n/a	n/a
546.001	4.001	fb_a_neg	-0.151	0.326
550.002	9.999	feel	n/a	n/a
560.001	3.999	fb_a_neg	-0.151	-0.151
564.000	10.002	feel	n/a	n/a
574.002	3.999	fb_a_neg	-0.434	-0.077
578.001	9.999	feel	n/a	n/a
588.000	4.000	fb_a_neg	-0.149	0.697
592.000	28.000	finish	n/a	n/a
