onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.000	rest	n/a	n/a
42.001	4.001	fb_v_pos	0.000	0.000
46.002	9.999	feel	n/a	n/a
56.001	3.999	fb_v_pos	-0.111	0.426
60.000	10.001	feel	n/a	n/a
70.001	3.999	fb_v_pos	-0.166	0.289
74.000	10.001	feel	n/a	n/a
84.001	3.999	fb_v_pos	0.474	0.171
88.000	10.001	feel	n/a	n/a
98.001	3.999	fb_v_pos	-0.011	-0.194
102.000	10.001	rest	n/a	n/a
112.001	3.999	fb_a_pos	0.000	0.000
116.000	10.001	feel	n/a	n/a
126.001	3.999	fb_a_pos	-0.703	0.549
130.000	10.001	feel	n/a	n/a
140.001	4.001	fb_a_pos	0.237	0.560
144.002	9.999	feel	n/a	n/a
154.001	4.000	fb_a_pos	-0.157	0.254
158.001	9.999	feel	n/a	n/a
168.000	4.002	fb_a_pos	0.614	-0.234
172.002	9.999	rest	n/a	n/a
182.001	4.000	fb_v_neg	0.000	0.000
186.001	9.999	feel	n/a	n/a
196.000	4.001	fb_v_neg	-0.623	-0.083
200.001	9.999	feel	n/a	n/a
210.000	4.001	fb_v_neg	0.100	-0.649
214.001	9.999	feel	n/a	n/a
224.000	4.001	fb_v_neg	0.371	-0.117
228.001	10.001	feel	n/a	n/a
238.002	3.999	fb_v_neg	0.520	-0.731
242.001	9.999	rest	n/a	n/a
252.000	4.001	fb_a_neg	0.000	0.000
256.001	10.001	feel	n/a	n/a
266.002	3.998	fb_a_neg	-0.040	0.026
270.000	10.002	feel	n/a	n/a
280.002	3.998	fb_a_neg	0.717	0.671
284.000	10.002	feel	n/a	n/a
294.002	3.998	fb_a_neg	-0.023	0.337
298.000	10.002	feel	n/a	n/a
308.002	3.998	fb_a_neg	-0.269	-0.106
312.000	10.000	rest	n/a	n/a
322.000	4.000	fb_a_pos	0.000	0.000
326.000	10.002	feel	n/a	n/a
336.002	3.999	fb_a_pos	-0.680	-0.171
340.001	10.001	feel	n/a	n/a
350.002	3.999	fb_a_pos	0.054	0.054
354.001	9.999	feel	n/a	n/a
364.000	4.000	fb_a_pos	0.446	0.391
368.000	10.002	feel	n/a	n/a
378.002	3.998	fb_a_pos	0.460	0.046
382.000	10.002	rest	n/a	n/a
392.002	4.000	fb_v_neg	0.000	0.000
396.002	10.000	feel	n/a	n/a
406.002	4.000	fb_v_neg	0.277	-0.317
410.002	9.999	feel	n/a	n/a
420.001	4.001	fb_v_neg	0.151	0.226
424.002	9.999	feel	n/a	n/a
434.001	4.001	fb_v_neg	-0.480	0.057
438.002	9.999	feel	n/a	n/a
448.001	4.001	fb_v_neg	-0.474	0.211
452.002	9.999	rest	n/a	n/a
462.001	4.001	fb_v_pos	0.000	0.000
466.002	9.999	feel	n/a	n/a
476.001	4.000	fb_v_pos	0.303	0.566
480.001	10.001	feel	n/a	n/a
490.002	3.999	fb_v_pos	0.271	0.554
494.001	10.000	feel	n/a	n/a
504.001	4.000	fb_v_pos	-0.637	0.037
508.001	10.000	feel	n/a	n/a
518.001	4.000	fb_v_pos	-0.009	0.126
522.001	10.000	rest	n/a	n/a
532.001	4.000	fb_a_neg	0.000	0.000
536.001	9.999	feel	n/a	n/a
546.000	4.001	fb_a_neg	0.134	0.406
550.001	10.002	feel	n/a	n/a
560.003	3.998	fb_a_neg	0.683	-0.423
564.001	10.000	feel	n/a	n/a
574.001	4.000	fb_a_neg	0.731	0.011
578.001	10.000	feel	n/a	n/a
588.001	4.000	fb_a_neg	0.366	-0.117
592.001	27.999	finish	n/a	n/a
