onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.001	rest	n/a	n/a
42.002	3.999	fb_a_neg	0.000	0.000
46.001	10.001	feel	n/a	n/a
56.002	4.000	fb_a_neg	-0.191	0.100
60.002	9.999	feel	n/a	n/a
70.001	4.000	fb_a_neg	-0.003	0.583
74.001	9.999	feel	n/a	n/a
84.000	4.001	fb_a_neg	-0.226	0.380
88.001	10.000	feel	n/a	n/a
98.001	4.000	fb_a_neg	0.469	-0.646
102.001	9.999	rest	n/a	n/a
112.000	4.001	fb_v_pos	0.000	0.000
116.001	9.999	feel	n/a	n/a
126.000	4.003	fb_v_pos	0.200	-0.111
130.003	9.998	feel	n/a	n/a
140.001	4.000	fb_v_pos	-0.160	0.183
144.001	10.000	feel	n/a	n/a
154.001	4.000	fb_v_pos	0.343	-0.271
158.001	10.001	feel	n/a	n/a
168.002	4.000	fb_v_pos	0.137	-0.114
172.002	9.999	rest	n/a	n/a
182.001	4.001	fb_a_pos	0.000	0.000
186.002	9.998	feel	n/a	n/a
196.000	4.001	fb_a_pos	0.763	0.151
200.001	10.002	feel	n/a	n/a
210.003	3.998	fb_a_pos	-0.146	-0.346
214.001	10.000	feel	n/a	n/a
224.001	4.001	fb_a_pos	-0.717	-0.034
228.002	10.000	feel	n/a	n/a
238.002	3.999	fb_a_pos	-0.563	-0.029
242.001	10.001	rest	n/a	n/a
252.002	4.000	fb_v_neg	0.000	0.000
256.002	9.998	feel	n/a	n/a
266.000	4.001	fb_v_neg	0.980	0.369
270.001	10.000	feel	n/a	n/a
280.001	3.999	fb_v_neg	-0.006	0.483
284.000	10.001	feel	n/a	n/a
294.001	3.999	fb_v_neg	-0.071	0.577
298.000	10.002	feel	n/a	n/a
308.002	3.999	fb_v_neg	0.171	-0.060
312.001	10.000	rest	n/a	n/a
322.001	4.000	fb_v_pos	0.000	0.000
326.001	10.000	feel	n/a	n/a
336.001	4.000	fb_v_pos	-0.454	-0.169
340.001	9.999	feel	n/a	n/a
350.000	4.000	fb_v_pos	-1.000	0.286
354.000	10.000	feel	n/a	n/a
364.000	4.001	fb_v_pos	-0.129	0.191
368.001	10.001	feel	n/a	n/a
378.002	4.000	fb_v_pos	-0.797	0.323
382.002	10.000	rest	n/a	n/a
392.002	4.000	fb_a_pos	0.000	0.000
396.002	10.000	feel	n/a	n/a
406.002	4.000	fb_a_pos	0.237	-0.214
410.002	9.999	feel	n/a	n/a
420.001	4.000	fb_a_pos	-0.277	0.417
424.001	10.000	feel	n/a	n/a
434.001	4.000	fb_a_pos	0.143	-0.200
438.001	10.000	feel	n/a	n/a
448.001	4.000	fb_a_pos	-0.137	0.154
452.001	10.000	rest	n/a	n/a
462.001	4.002	fb_a_neg	0.000	0.000
466.003	9.997	feel	n/a	n/a
476.000	4.001	fb_a_neg	0.714	-1.000
480.001	9.999	feel	n/a	n/a
490.000	4.002	fb_a_neg	0.311	-0.220
494.002	10.000	feel	n/a	n/a
504.002	4.000	fb_a_neg	-0.289	-0.163
508.002	10.000	feel	n/a	n/a
518.002	3.999	fb_a_neg	0.086	-0.594
522.001	10.001	rest	n/a	n/a
532.002	3.999	fb_v_neg	0.000	0.000
536.001	10.000	feel	n/a	n/a
546.001	4.000	fb_v_neg	0.823	-0.729
550.001	10.001	feel	n/a	n/a
560.002	4.000	fb_v_neg	0.483	-0.531
564.002	9.999	feel	n/a	n/a
574.001	4.000	fb_v_neg	0.497	-0.583
578.001	10.000	feel	n/a	n/a
588.001	4.000	fb_v_neg	0.631	-0.646
592.001	27.999	finish	n/a	n/a
