onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.000	rest	n/a	n/a
42.001	4.001	fb_v_pos	0.000	0.000
46.002	9.999	feel	n/a	n/a
56.001	4.001	fb_v_pos	0.206	-0.237
60.002	9.998	feel	n/a	n/a
70.000	4.001	fb_v_pos	0.771	-0.237
74.001	10.000	feel	n/a	n/a
84.001	4.000	fb_v_pos	0.854	0.777
88.001	9.999	feel	n/a	n/a
98.000	4.002	fb_v_pos	0.883	0.151
102.002	10.000	rest	n/a	n/a
112.002	3.999	fb_a_pos	0.000	0.000
116.001	10.000	feel	n/a	n/a
126.001	3.999	fb_a_pos	-0.580	-0.431
130.000	10.000	feel	n/a	n/a
140.000	4.002	fb_a_pos	-0.391	-0.106
144.002	10.000	feel	n/a	n/a
154.002	4.000	fb_a_pos	0.091	0.400
158.002	10.000	feel	n/a	n/a
168.002	3.999	fb_a_pos	-0.351	-0.400
172.001	10.000	rest	n/a	n/a
182.001	4.001	fb_v_neg	0.000	0.000
186.002	9.998	feel	n/a	n/a
196.000	4.002	fb_v_neg	-0.569	0.240
200.002	9.999	feel	n/a	n/a
210.001	4.001	fb_v_neg	-0.154	-0.103
214.002	9.999	feel	n/a	n/a
224.001	4.001	fb_v_neg	0.577	-0.063
228.002	10.000	feel	n/a	n/a
238.002	4.000	fb_v_neg	-0.560	0.294
242.002	10.000	rest	n/a	n/a
252.002	3.999	fb_a_neg	0.000	0.000
256.001	10.001	feel	n/a	n/a
266.002	4.000	fb_a_neg	0.366	-0.334
270.002	9.999	feel	n/a	n/a
280.001	4.000	fb_a_neg	-0.757	-0.157
284.001	10.001	feel	n/a	n/a
294.002	4.000	fb_a_neg	-0.146	0.323
298.002	9.998	feel	n/a	n/a
308.000	4.002	fb_a_neg	-0.614	0.291
312.002	10.000	rest	n/a	n/a
322.002	3.999	fb_a_pos	0.000	0.000
326.001	10.000	feel	n/a	n/a
336.001	4.000	fb_a_pos	-0.057	0.809
340.001	10.001	feel	n/a	n/a
350.002	4.000	fb_a_pos	0.203	0.589
354.002	9.999	feel	n/a	n/a
364.001	4.000	fb_a_pos	-0.037	0.826
368.001	10.000	feel	n/a	n/a
378.001	4.001	fb_a_pos	-0.260	0.114
382.002	10.000	rest	n/a	n/a
392.002	3.999	fb_v_neg	0.000	0.000
396.001	10.000	feel	n/a	n/a
406.001	4.000	fb_v_neg	0.697	0.743
410.001	10.001	feel	n/a	n/a
420.002	4.000	fb_v_neg	0.317	0.320
424.002	9.999	feel	n/a	n/a
434.001	4.000	fb_v_neg	-0.611	0.117
438.001	10.001	feel	n/a	n/a
448.002	4.000	fb_v_neg	-0.309	0.411
452.002	9.999	rest	n/a	n/a
462.001	4.000	fb_v_pos	0.000	0.000
466.001	9.999	feel	n/a	n/a
476.000	4.001	fb_v_pos	-0.183	0.077
480.001	10.000	feel	n/a	n/a
490.001	4.000	fb_v_pos	0.463	-0.111
494.001	9.999	feel	n/a	n/a
504.000	4.000	fb_v_pos	0.054	-0.069
508.000	10.002	feel	n/a	n/a
518.002	3.998	fb_v_pos	0.086	-0.426
522.000	10.001	rest	n/a	n/a
532.001	4.000	fb_a_neg	0.000	0.000
536.001	10.001	feel	n/a	n/a
546.002	4.000	fb_a_neg	-0.231	0.617
550.002	10.000	feel	n/a	n/a
560.002	3.999	fb_a_neg	-0.054	-0.400
564.001	10.001	feel	n/a	n/a
574.002	3.999	fb_a_neg	-0.169	-0.740
578.001	10.001	feel	n/a	n/a
588.002	4.000	fb_a_neg	-0.349	-0.617
592.002	27.998	finish	n/a	n/a
