onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.001	rest	n/a	n/a
42.002	3.999	fb_v_pos	0.000	0.000
46.001	10.000	feel	n/a	n/a
56.001	4.000	fb_v_pos	0.231	-0.346
60.001	10.001	feel	n/a	n/a
70.002	3.998	fb_v_pos	-0.046	-0.769
74.000	10.002	feel	n/a	n/a
84.002	3.999	fb_v_pos	0.357	-0.354
88.001	10.000	feel	n/a	n/a
98.001	4.000	fb_v_pos	0.346	0.020
102.001	10.001	rest	n/a	n/a
112.002	3.999	fb_a_pos	0.000	0.000
116.001	10.001	feel	n/a	n/a
126.002	4.000	fb_a_pos	-0.580	0.894
130.002	9.998	feel	n/a	n/a
140.000	4.001	fb_a_pos	-0.617	0.726
144.001	10.001	feel	n/a	n/a
154.002	3.999	fb_a_pos	0.149	0.471
158.001	10.000	feel	n/a	n/a
168.001	4.000	fb_a_pos	-0.251	0.143
172.001	10.000	rest	n/a	n/a
182.001	4.001	fb_a_neg	0.000	0.000
186.002	10.000	feel	n/a	n/a
196.002	3.999	fb_a_neg	0.337	0.063
200.001	10.000	feel	n/a	n/a
210.001	4.001	fb_a_neg	-0.129	-0.000
214.002	10.000	feel	n/a	n/a
224.002	3.999	fb_a_neg	0.554	-0.191
228.001	9.999	feel	n/a	n/a
238.000	4.001	fb_a_neg	0.271	0.386
242.001	10.001	rest	n/a	n/a
252.002	4.001	fb_v_neg	0.000	0.000
256.003	9.999	feel	n/a	n/a
266.002	3.999	fb_v_neg	0.483	-0.311
270.001	10.000	feel	n/a	n/a
280.001	3.999	fb_v_neg	0.566	-0.366
284.000	10.000	feel	n/a	n/a
294.000	4.000	fb_v_neg	0.340	0.346
298.000	10.002	feel	n/a	n/a
308.002	4.000	fb_v_neg	0.923	-0.860
312.002	10.000	rest	n/a	n/a
322.002	3.999	fb_a_neg	0.000	0.000
326.001	10.000	feel	n/a	n/a
336.001	4.000	fb_a_neg	0.311	0.274
340.001	10.001	feel	n/a	n/a
350.002	3.998	fb_a_neg	-0.083	0.037
354.000	10.002	feel	n/a	n/a
364.002	3.999	fb_a_neg	0.340	0.311
368.001	10.000	feel	n/a	n/a
378.001	4.000	fb_a_neg	0.360	-0.123
382.001	10.002	rest	n/a	n/a
392.003	3.998	fb_v_pos	0.000	0.000
396.001	10.000	feel	n/a	n/a
406.001	4.001	fb_v_pos	0.574	0.240
410.002	10.000	feel	n/a	n/a
420.002	4.000	fb_v_pos	-0.220	-0.280
424.002	10.000	feel	n/a	n/a
434.002	3.999	fb_v_pos	-0.103	0.417
438.001	10.000	feel	n/a	n/a
448.001	3.999	fb_v_pos	-0.260	0.017
452.000	10.000	rest	n/a	n/a
462.000	4.001	fb_a_pos	0.000	0.000
466.001	10.002	feel	n/a	n/a
476.003	3.999	fb_a_pos	-0.260	0.280
480.002	10.000	feel	n/a	n/a
490.002	3.999	fb_a_pos	0.109	0.000
494.001	10.001	feel	n/a	n/a
504.002	3.999	fb_a_pos	0.317	-0.066
508.001	9.999	feel	n/a	n/a
518.000	4.002	fb_a_pos	0.094	0.337
522.002	10.000	rest	n/a	n/a
532.002	4.000	fb_v_neg	0.000	0.000
536.002	10.000	feel	n/a	n/a
546.002	3.999	fb_v_neg	-0.686	0.503
550.001	10.000	feel	n/a	n/a
560.001	4.001	fb_v_neg	-0.243	0.151
564.002	9.999	feel	n/a	n/a
574.001	4.001	fb_v_neg	-0.297	-0.231
578.002	9.998	feel	n/a	n/a
588.000	4.001	fb_v_neg	-0.077	-0.026
592.001	27.999	finish	n/a	n/a
