onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.001	rest	n/a	n/a
42.002	4.000	fb_v_pos	0.000	0.000
46.002	10.002	feel	n/a	n/a
56.004	3.997	fb_v_pos	0.031	0.120
60.001	9.999	feel	n/a	n/a
70.000	4.000	fb_v_pos	0.769	-0.026
74.000	10.000	feel	n/a	n/a
84.000	4.001	fb_v_pos	0.857	0.614
88.001	10.001	feel	n/a	n/a
98.002	3.998	fb_v_pos	0.880	0.440
102.000	10.000	rest	n/a	n/a
112.000	4.000	fb_a_pos	0.000	0.000
116.000	10.000	feel	n/a	n/a
126.000	4.002	fb_a_pos	-0.703	-0.291
130.002	9.999	feel	n/a	n/a
140.001	4.000	fb_a_pos	-0.391	-0.243
144.001	9.999	feel	n/a	n/a
154.000	4.002	fb_a_pos	0.071	0.037
158.002	10.000	feel	n/a	n/a
168.002	4.000	fb_a_pos	-0.326	-0.034
172.002	9.999	rest	n/a	n/a
182.001	4.000	fb_v_neg	0.000	0.000
186.001	10.001	feel	n/a	n/a
196.002	4.000	fb_v_neg	-0.571	0.049
200.002	10.000	feel	n/a	n/a
210.002	3.999	fb_v_neg	-0.231	-0.131
214.001	10.000	feel	n/a	n/a
224.001	4.000	fb_v_neg	0.469	0.080
228.001	10.001	feel	n/a	n/a
238.002	3.998	fb_v_neg	-0.329	-0.329
242.000	10.002	rest	n/a	n/a
252.002	3.999	fb_a_neg	0.000	0.000
256.001	10.000	feel	n/a	n/a
266.001	4.000	fb_a_neg	0.183	-0.029
270.001	10.000	feel	n/a	n/a
280.001	4.001	fb_a_neg	-0.800	-0.386
284.002	10.000	feel	n/a	n/a
294.002	4.000	fb_a_neg	-0.146	-0.246
298.002	9.999	feel	n/a	n/a
308.001	3.999	fb_a_neg	-0.691	0.057
312.000	10.001	rest	n/a	n/a
322.001	4.001	fb_a_pos	0.000	0.000
326.002	9.999	feel	n/a	n/a
336.001	4.001	fb_a_pos	-0.051	-0.046
340.002	10.000	feel	n/a	n/a
350.002	4.001	fb_a_pos	0.229	0.229
354.003	9.999	feel	n/a	n/a
364.002	4.000	fb_a_pos	-0.031	0.140
368.002	10.000	feel	n/a	n/a
378.002	4.000	fb_a_pos	-0.243	-0.186
382.002	9.999	rest	n/a	n/a
392.001	4.000	fb_v_neg	0.000	0.000
396.001	9.999	feel	n/a	n/a
406.000	4.001	fb_v_neg	0.663	0.023
410.001	10.001	feel	n/a	n/a
420.002	3.999	fb_v_neg	0.320	0.037
424.001	10.000	feel	n/a	n/a
434.001	4.000	fb_v_neg	-0.654	-0.360
438.001	10.001	feel	n/a	n/a
448.002	4.000	fb_v_neg	-0.311	0.383
452.002	9.999	rest	n/a	n/a
462.001	3.999	fb_v_pos	0.000	0.000
466.000	10.001	feel	n/a	n/a
476.001	4.001	fb_v_pos	-0.463	0.014
480.002	10.000	feel	n/a	n/a
490.002	4.000	fb_v_pos	0.457	0.034
494.002	9.999	feel	n/a	n/a
504.001	3.999	fb_v_pos	0.051	0.011
508.000	10.000	feel	n/a	n/a
518.000	4.002	fb_v_pos	0.077	0.100
522.002	9.998	rest	n/a	n/a
532.000	4.002	fb_a_neg	0.000	0.000
536.002	9.999	feel	n/a	n/a
546.001	4.000	fb_a_neg	-0.226	0.126
550.001	10.001	feel	n/a	n/a
560.002	3.999	fb_a_neg	-0.069	0.271
564.001	10.001	feel	n/a	n/a
574.002	4.000	fb_a_neg	-0.157	-0.074
578.002	9.999	feel	n/a	n/a
588.001	4.000	fb_a_neg	-0.351	-0.134
592.001	27.999	finish	n/a	n/a
