onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.001	rest	n/a	n/a
42.002	3.998	fb_v_pos	0.000	0.000
46.000	10.002	feel	n/a	n/a
56.002	4.000	fb_v_pos	-0.334	0.206
60.002	9.999	feel	n/a	n/a
70.001	3.999	fb_v_pos	-0.520	0.629
74.000	10.002	feel	n/a	n/a
84.002	3.999	fb_v_pos	-0.211	-0.403
88.001	10.001	feel	n/a	n/a
98.002	3.999	fb_v_pos	-0.829	0.226
102.001	10.000	rest	n/a	n/a
112.001	4.001	fb_a_pos	0.000	0.000
116.002	10.000	feel	n/a	n/a
126.002	4.000	fb_a_pos	0.317	0.334
130.002	10.000	feel	n/a	n/a
140.002	3.999	fb_a_pos	-0.011	-0.134
144.001	9.999	feel	n/a	n/a
154.000	4.000	fb_a_pos	0.154	0.026
158.000	10.000	feel	n/a	n/a
168.000	4.002	fb_a_pos	0.160	-0.431
172.002	10.000	rest	n/a	n/a
182.002	3.999	fb_v_neg	0.000	0.000
186.001	10.000	feel	n/a	n/a
196.001	4.000	fb_v_neg	-0.094	-0.560
200.001	9.999	feel	n/a	n/a
210.000	4.001	fb_v_neg	0.474	-0.266
214.001	10.000	feel	n/a	n/a
224.001	4.001	fb_v_neg	-0.349	0.500
228.002	10.000	feel	n/a	n/a
238.002	4.000	fb_v_neg	0.211	0.069
242.002	10.000	rest	n/a	n/a
252.002	3.999	fb_a_neg	0.000	0.000
256.001	10.000	feel	n/a	n/a
266.001	4.000	fb_a_neg	0.369	0.240
270.001	9.999	feel	n/a	n/a
280.000	4.002	fb_a_neg	0.186	-0.297
284.002	10.000	feel	n/a	n/a
294.002	3.999	fb_a_neg	-0.114	-0.351
298.001	10.000	feel	n/a	n/a
308.001	4.000	fb_a_neg	0.054	-0.071
312.001	10.001	rest	n/a	n/a
322.002	4.000	fb_a_pos	0.000	0.000
326.002	9.999	feel	n/a	n/a
336.001	4.002	fb_a_pos	-0.643	0.177
340.003	10.000	feel	n/a	n/a
350.003	3.997	fb_a_pos	0.309	0.060
354.000	10.000	feel	n/a	n/a
364.000	4.002	fb_a_pos	-0.383	-0.354
368.002	9.999	feel	n/a	n/a
378.001	4.000	fb_a_pos	0.160	-0.174
382.001	10.001	rest	n/a	n/a
392.002	3.998	fb_v_neg	0.000	0.000
396.000	10.001	feel	n/a	n/a
406.001	4.000	fb_v_neg	0.326	-0.366
410.001	10.000	feel	n/a	n/a
420.001	4.000	fb_v_neg	0.149	0.077
424.001	9.999	feel	n/a	n/a
434.000	4.001	fb_v_neg	-0.377	0.409
438.001	9.999	feel	n/a	n/a
448.000	4.004	fb_v_neg	-0.197	-0.211
452.004	9.997	rest	n/a	n/a
462.001	4.000	fb_v_pos	0.000	0.000
466.001	9.999	feel	n/a	n/a
476.000	4.002	fb_v_pos	-0.586	0.271
480.002	10.000	feel	n/a	n/a
490.002	3.998	fb_v_pos	0.034	-0.269
494.000	10.001	feel	n/a	n/a
504.001	3.999	fb_v_pos	-0.006	-0.080
508.000	10.001	feel	n/a	n/a
518.001	4.000	fb_v_pos	-0.454	-0.186
522.001	10.001	rest	n/a	n/a
532.002	4.000	fb_a_neg	0.000	0.000
536.002	9.999	feel	n/a	n/a
546.001	3.999	fb_a_neg	-0.391	0.551
550.000	10.001	feel	n/a	n/a
560.001	4.000	fb_a_neg	-0.577	-0.343
564.001	10.000	feel	n/a	n/a
574.001	4.001	fb_a_neg	0.340	-0.011
578.002	9.999	feel	n/a	n/a
588.001	4.000	fb_a_neg	-0.157	0.077
592.001	27.999	finish	n/a	n/a
