onset	duration	dsgn_onset	dsgn_duration	trial_type	database	identifier	valence	arousal
12.007	2.000	12.000	2.000	in_stim	iaps	5510	5.15	2.82
14.007	1.999	14.000	2.000	in_prep	n/a	n/a	n/a	n/a
16.006	8.010	16.000	8.000	in_feel	n/a	n/a	n/a	n/a
26.410	2.001	26.404	2.000	ex_stim	iaps	4598	6.33	5.53
31.618	2.008	31.615	2.000	ex_stim	iaps	2040	8.17	4.64
36.143	1.999	36.117	2.000	in_stim	iaps	8033	6.66	5.01
38.142	2.001	38.117	2.000	in_prep	n/a	n/a	n/a	n/a
40.143	7.998	40.117	8.000	in_feel	n/a	n/a	n/a	n/a
52.115	1.999	52.116	2.000	in_stim	iaps	7283	5.5	3.81
54.114	2.000	54.116	2.000	in_prep	n/a	n/a	n/a	n/a
56.114	7.998	56.116	8.000	in_feel	n/a	n/a	n/a	n/a
69.179	2.001	69.162	2.000	ex_stim	iaps	7492	7.41	4.91
75.833	1.998	75.828	2.000	ex_stim	iaps	5950	5.99	6.79
82.333	1.999	82.314	2.000	ex_stim	iaps	4597	6.95	5.91
87.112	1.974	87.072	2.000	ex_stim	iaps	5010	7.14	3
92.773	2.008	92.767	2.000	ex_stim	iaps	2095	1.79	5.25
100.608	2.000	100.586	2.000	ex_stim	iaps	8158	6.53	6.49
105.159	1.999	105.126	2.000	in_stim	iaps	3063	1.49	6.35
107.158	1.999	107.126	2.000	in_prep	n/a	n/a	n/a	n/a
109.157	7.983	109.126	8.000	in_feel	n/a	n/a	n/a	n/a
121.381	1.998	121.364	2.000	ex_stim	iaps	2217	6.24	4.08
125.584	2.000	125.555	2.000	in_stim	iaps	9322	2.24	5.73
127.584	1.998	127.555	2.000	in_prep	n/a	n/a	n/a	n/a
129.582	7.993	129.555	8.000	in_feel	n/a	n/a	n/a	n/a
140.368	1.981	140.337	2.000	ex_stim	iaps	2352	6.94	4.99
146.393	1.999	146.371	2.000	ex_stim	iaps	8190	8.1	6.28
152.080	2.006	152.067	2.000	ex_stim	iaps	1301	3.7	5.77
159.808	2.000	159.784	2.000	ex_stim	iaps	9415	2.82	4.91
166.227	2.001	166.213	2.000	ex_stim	iaps	9184	2.47	5.75
171.745	2.013	171.736	2.000	ex_stim	iaps	5760	8.05	3.22
175.998	1.998	175.971	2.000	ex_stim	iaps	1620	7.37	3.54
182.165	2.000	182.144	2.000	ex_stim	iaps	5833	8.22	5.71
188.267	1.998	188.249	2.000	ex_stim	iaps	6550	2.73	7.09
195.882	1.999	195.835	2.000	ex_stim	iaps	5395	5.34	4.23
202.822	1.999	202.775	2.000	ex_stim	iaps	8200	7.54	6.35
209.197	1.999	209.164	2.000	ex_stim	iaps	3102	1.4	6.58
216.613	1.999	216.586	2.000	ex_stim	iaps	6563	1.77	6.85
221.024	2.000	220.992	2.000	in_stim	iaps	7010	4.94	1.76
223.024	2.000	222.992	2.000	in_prep	n/a	n/a	n/a	n/a
225.024	8.003	224.992	8.000	in_feel	n/a	n/a	n/a	n/a
237.251	2.000	237.216	2.000	ex_stim	iaps	2222	7.11	4.08
242.459	2.000	242.427	2.000	in_stim	iaps	8341	6.25	6.4
244.459	1.999	244.427	2.000	in_prep	n/a	n/a	n/a	n/a
246.458	8.000	246.427	8.000	in_feel	n/a	n/a	n/a	n/a
260.215	1.998	260.175	2.000	ex_stim	iaps	9220	2.06	4
265.880	1.999	265.853	2.000	in_stim	iaps	9145	3.2	5.05
267.879	1.999	267.853	2.000	in_prep	n/a	n/a	n/a	n/a
269.878	8.004	269.853	8.000	in_feel	n/a	n/a	n/a	n/a
279.985	2.000	279.955	2.000	ex_stim	iaps	4490	6.27	6.06
284.915	1.999	284.898	2.000	in_stim	iaps	9402	4.48	5.07
286.914	2.000	286.898	2.000	in_prep	n/a	n/a	n/a	n/a
288.914	8.009	288.898	8.000	in_feel	n/a	n/a	n/a	n/a
301.920	2.000	301.894	2.000	in_stim	iaps	6231	2.49	6.82
303.920	1.999	303.894	2.000	in_prep	n/a	n/a	n/a	n/a
305.919	7.997	305.894	8.000	in_feel	n/a	n/a	n/a	n/a
319.501	2.000	319.474	2.000	ex_stim	iaps	5020	6.32	2.63
326.443	2.001	326.397	2.000	ex_stim	iaps	4235	5.39	5.29
331.579	2.003	331.547	2.000	ex_stim	iaps	8186	7.01	6.84
338.751	2.000	338.720	2.000	ex_stim	iaps	7217	4.82	2.43
343.648	2.001	343.632	2.000	ex_stim	iaps	9102	3.34	4.84
349.854	2.000	349.818	2.000	ex_stim	iaps	3000	1.45	7.26
355.163	1.999	355.137	2.000	ex_stim	iaps	2271	4.2	3.74
361.850	1.999	361.825	2.000	ex_stim	iaps	1333	6.11	3.17
368.640	2.034	368.623	2.000	in_stim	iaps	4668	6.67	7.13
370.674	1.966	370.623	2.000	in_prep	n/a	n/a	n/a	n/a
372.640	8.032	372.623	8.000	in_feel	n/a	n/a	n/a	n/a
384.959	1.997	384.920	2.000	ex_stim	iaps	9426	3.08	5.28
391.745	2.005	391.717	2.000	ex_stim	iaps	9700	4.77	3.21
399.367	1.999	399.326	2.000	in_stim	iaps	4008	5.91	5.66
401.366	1.999	401.326	2.000	in_prep	n/a	n/a	n/a	n/a
403.365	7.996	403.326	8.000	in_feel	n/a	n/a	n/a	n/a
415.342	2.000	415.285	2.000	ex_stim	iaps	4649	5.77	5.99
420.377	1.999	420.343	2.000	ex_stim	iaps	2302	6.43	3.64
427.164	1.999	427.098	2.000	in_stim	iaps	2320	6.17	2.9
429.163	1.999	429.098	2.000	in_prep	n/a	n/a	n/a	n/a
431.162	7.995	431.098	8.000	in_feel	n/a	n/a	n/a	n/a
444.512	1.969	444.451	2.000	ex_stim	iaps	8231	3.77	5.24
452.407	1.978	452.347	2.000	ex_stim	iaps	4220	8.02	7.17
459.900	2.000	459.843	2.000	ex_stim	iaps	2795	3.92	4.7
465.456	1.999	465.397	2.000	in_stim	iaps	9000	2.55	4.06
467.455	2.001	467.397	2.000	in_prep	n/a	n/a	n/a	n/a
469.456	8.008	469.397	8.000	in_feel	n/a	n/a	n/a	n/a
479.704	2.000	479.671	2.000	in_stim	iaps	4470	5.87	4.81
481.704	1.998	481.671	2.000	in_prep	n/a	n/a	n/a	n/a
483.702	7.998	483.671	8.000	in_feel	n/a	n/a	n/a	n/a
496.081	1.999	496.026	2.000	ex_stim	iaps	7480	7.08	4.55
502.733	1.987	502.690	2.000	ex_stim	iaps	7224	4.45	2.81
507.818	1.999	507.765	2.000	ex_stim	iaps	1810	6.52	4.45
514.341	1.999	514.298	2.000	ex_stim	iaps	9390	3.67	4.14
521.439	1.998	521.400	2.000	ex_stim	iaps	8030	7.33	7.35
