onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.001	rest	n/a	n/a
42.002	3.998	fb_v_pos	0.000	0.000
46.000	10.000	feel	n/a	n/a
56.000	4.004	fb_v_pos	-0.160	-0.717
60.004	9.998	feel	n/a	n/a
70.002	3.998	fb_v_pos	0.414	-0.417
74.000	10.002	feel	n/a	n/a
84.002	3.998	fb_v_pos	0.063	0.003
88.000	10.002	feel	n/a	n/a
98.002	4.000	fb_v_pos	-0.151	0.094
102.002	10.000	rest	n/a	n/a
112.002	4.000	fb_a_pos	0.000	0.000
116.002	10.000	feel	n/a	n/a
126.002	4.000	fb_a_pos	0.406	-0.320
130.002	10.000	feel	n/a	n/a
140.002	4.001	fb_a_pos	0.500	-0.743
144.003	9.999	feel	n/a	n/a
154.002	4.000	fb_a_pos	-0.297	0.066
158.002	10.000	feel	n/a	n/a
168.002	4.000	fb_a_pos	-0.623	-0.151
172.002	10.000	rest	n/a	n/a
182.002	4.000	fb_a_neg	0.000	0.000
186.002	10.000	feel	n/a	n/a
196.002	4.000	fb_a_neg	-0.554	0.531
200.002	10.000	feel	n/a	n/a
210.002	3.999	fb_a_neg	-0.014	0.263
214.001	10.001	feel	n/a	n/a
224.002	4.000	fb_a_neg	-0.283	-0.931
228.002	10.000	feel	n/a	n/a
238.002	4.000	fb_a_neg	-0.491	0.791
242.002	9.999	rest	n/a	n/a
252.001	4.001	fb_v_neg	0.000	0.000
256.002	9.999	feel	n/a	n/a
266.001	4.001	fb_v_neg	0.346	-0.237
270.002	9.999	feel	n/a	n/a
280.001	4.001	fb_v_neg	0.680	-0.574
284.002	9.999	feel	n/a	n/a
294.001	4.001	fb_v_neg	-0.126	-0.794
298.002	9.999	feel	n/a	n/a
308.001	4.001	fb_v_neg	0.006	-0.214
312.002	9.999	rest	n/a	n/a
322.001	4.001	fb_a_neg	0.000	0.000
326.002	9.998	feel	n/a	n/a
336.000	4.001	fb_a_neg	-0.146	-0.577
340.001	10.002	feel	n/a	n/a
350.003	3.999	fb_a_neg	0.489	-0.194
354.002	10.000	feel	n/a	n/a
364.002	3.999	fb_a_neg	0.471	-0.434
368.001	10.000	feel	n/a	n/a
378.001	4.000	fb_a_neg	0.140	-1.000
382.001	10.000	rest	n/a	n/a
392.001	3.999	fb_v_pos	0.000	0.000
396.000	10.001	feel	n/a	n/a
406.001	4.000	fb_v_pos	0.300	-0.040
410.001	10.000	feel	n/a	n/a
420.001	4.001	fb_v_pos	0.337	-0.400
424.002	9.999	feel	n/a	n/a
434.001	4.001	fb_v_pos	0.414	-0.657
438.002	10.000	feel	n/a	n/a
448.002	3.999	fb_v_pos	0.834	-0.646
452.001	10.001	rest	n/a	n/a
462.002	3.999	fb_a_pos	0.000	0.000
466.001	10.000	feel	n/a	n/a
476.001	4.000	fb_a_pos	-0.446	0.134
480.001	10.000	feel	n/a	n/a
490.001	4.000	fb_a_pos	0.177	0.157
494.001	9.999	feel	n/a	n/a
504.000	4.001	fb_a_pos	0.126	0.543
508.001	9.999	feel	n/a	n/a
518.000	4.001	fb_a_pos	0.049	0.263
522.001	9.999	rest	n/a	n/a
532.000	4.001	fb_v_neg	0.000	0.000
536.001	10.000	feel	n/a	n/a
546.001	4.000	fb_v_neg	0.417	0.440
550.001	10.001	feel	n/a	n/a
560.002	3.999	fb_v_neg	0.403	0.351
564.001	9.999	feel	n/a	n/a
574.000	4.002	fb_v_neg	0.666	-0.291
578.002	9.998	feel	n/a	n/a
588.000	4.000	fb_v_neg	0.386	0.831
592.000	28.000	finish	n/a	n/a
