onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.001	rest	n/a	n/a
42.002	3.998	fb_a_pos	0.000	0.000
46.000	10.000	feel	n/a	n/a
56.000	4.002	fb_a_pos	0.180	0.114
60.002	9.999	feel	n/a	n/a
70.001	4.000	fb_a_pos	-0.966	-0.337
74.001	10.000	feel	n/a	n/a
84.001	3.999	fb_a_pos	-0.163	-0.506
88.000	10.001	feel	n/a	n/a
98.001	3.999	fb_a_pos	-0.034	-0.294
102.000	10.002	rest	n/a	n/a
112.002	3.999	fb_v_neg	0.000	0.000
116.001	10.001	feel	n/a	n/a
126.002	4.000	fb_v_neg	-0.883	0.557
130.002	9.999	feel	n/a	n/a
140.001	4.000	fb_v_neg	0.351	-0.277
144.001	10.000	feel	n/a	n/a
154.001	4.001	fb_v_neg	-0.263	0.483
158.002	10.000	feel	n/a	n/a
168.002	3.999	fb_v_neg	0.394	-0.206
172.001	10.001	rest	n/a	n/a
182.002	4.001	fb_v_pos	0.000	0.000
186.003	9.999	feel	n/a	n/a
196.002	3.999	fb_v_pos	-0.517	0.443
200.001	9.999	feel	n/a	n/a
210.000	4.002	fb_v_pos	-0.163	-0.026
214.002	10.000	feel	n/a	n/a
224.002	4.000	fb_v_pos	0.783	-0.174
228.002	10.000	feel	n/a	n/a
238.002	3.999	fb_v_pos	-0.980	0.060
242.001	10.000	rest	n/a	n/a
252.001	4.001	fb_a_neg	0.000	0.000
256.002	9.998	feel	n/a	n/a
266.000	4.001	fb_a_neg	-0.671	0.043
270.001	9.999	feel	n/a	n/a
280.000	4.002	fb_a_neg	0.434	0.166
284.002	10.000	feel	n/a	n/a
294.002	3.999	fb_a_neg	-0.277	0.143
298.001	10.000	feel	n/a	n/a
308.001	3.999	fb_a_neg	-0.340	-0.523
312.000	10.001	rest	n/a	n/a
322.001	4.001	fb_v_pos	0.000	0.000
326.002	10.000	feel	n/a	n/a
336.002	3.998	fb_v_pos	0.054	0.080
340.000	10.001	feel	n/a	n/a
350.001	4.000	fb_v_pos	-0.234	0.354
354.001	10.000	feel	n/a	n/a
364.001	3.999	fb_v_pos	-0.371	0.123
368.000	10.001	feel	n/a	n/a
378.001	3.999	fb_v_pos	-0.137	-0.171
382.000	10.002	rest	n/a	n/a
392.002	3.999	fb_a_pos	0.000	0.000
396.001	10.001	feel	n/a	n/a
406.002	3.999	fb_a_pos	-0.674	0.483
410.001	10.001	feel	n/a	n/a
420.002	3.998	fb_a_pos	0.980	-0.614
424.000	10.001	feel	n/a	n/a
434.001	4.001	fb_a_pos	0.026	0.349
438.002	10.000	feel	n/a	n/a
448.002	3.999	fb_a_pos	0.023	-0.049
452.001	10.002	rest	n/a	n/a
462.003	3.998	fb_v_neg	0.000	0.000
466.001	10.000	feel	n/a	n/a
476.001	3.999	fb_v_neg	-0.543	0.417
480.000	10.001	feel	n/a	n/a
490.001	4.001	fb_v_neg	-0.183	0.254
494.002	10.000	feel	n/a	n/a
504.002	4.001	fb_v_neg	-0.520	0.069
508.003	9.999	feel	n/a	n/a
518.002	3.999	fb_v_neg	-0.794	0.826
522.001	10.000	rest	n/a	n/a
532.001	3.999	fb_a_neg	0.000	0.000
536.000	10.002	feel	n/a	n/a
546.002	3.998	fb_a_neg	-0.826	-0.074
550.000	10.001	feel	n/a	n/a
560.001	4.000	fb_a_neg	-0.849	-0.057
564.001	10.001	feel	n/a	n/a
574.002	4.001	fb_a_neg	0.109	-0.446
578.003	10.000	feel	n/a	n/a
588.003	3.997	fb_a_neg	0.237	-0.237
592.000	28.000	finish	n/a	n/a
