onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.000	rest	n/a	n/a
42.001	4.000	fb_a_pos	0.000	0.000
46.001	10.000	feel	n/a	n/a
56.001	4.001	fb_a_pos	-0.194	0.006
60.002	10.000	feel	n/a	n/a
70.002	3.998	fb_a_pos	0.206	0.231
74.000	10.000	feel	n/a	n/a
84.000	4.001	fb_a_pos	-0.031	0.140
88.001	10.000	feel	n/a	n/a
98.001	4.000	fb_a_pos	-0.243	-0.186
102.001	10.000	rest	n/a	n/a
112.001	3.999	fb_v_neg	0.000	0.000
116.000	10.002	feel	n/a	n/a
126.002	3.999	fb_v_neg	0.703	0.171
130.001	10.000	feel	n/a	n/a
140.001	4.000	fb_v_neg	0.320	0.037
144.001	10.000	feel	n/a	n/a
154.001	4.000	fb_v_neg	-0.654	-0.360
158.001	9.999	feel	n/a	n/a
168.000	4.000	fb_v_neg	-0.177	0.351
172.000	10.002	rest	n/a	n/a
182.002	4.000	fb_v_pos	0.000	0.000
186.002	10.000	feel	n/a	n/a
196.002	3.999	fb_v_pos	-0.180	-0.177
200.001	10.000	feel	n/a	n/a
210.001	4.000	fb_v_pos	0.457	0.034
214.001	10.000	feel	n/a	n/a
224.001	4.000	fb_v_pos	0.031	-0.209
228.001	9.999	feel	n/a	n/a
238.000	4.002	fb_v_pos	0.077	0.100
242.002	10.000	rest	n/a	n/a
252.002	3.999	fb_a_neg	0.000	0.000
256.001	10.001	feel	n/a	n/a
266.002	3.998	fb_a_neg	-0.226	0.126
270.000	10.000	feel	n/a	n/a
280.000	4.000	fb_a_neg	-0.069	0.271
284.000	10.000	feel	n/a	n/a
294.000	4.002	fb_a_neg	-0.157	-0.074
298.002	9.999	feel	n/a	n/a
308.001	4.000	fb_a_neg	-0.357	-0.114
312.001	10.000	rest	n/a	n/a
322.001	4.001	fb_v_pos	0.000	0.000
326.002	9.999	feel	n/a	n/a
336.001	4.001	fb_v_pos	0.137	0.103
340.002	10.000	feel	n/a	n/a
350.002	4.000	fb_v_pos	0.769	-0.174
354.002	10.000	feel	n/a	n/a
364.002	4.000	fb_v_pos	0.857	0.614
368.002	9.999	feel	n/a	n/a
378.001	4.000	fb_v_pos	0.880	0.440
382.001	10.000	rest	n/a	n/a
392.001	4.000	fb_a_pos	0.000	0.000
396.001	10.000	feel	n/a	n/a
406.001	4.001	fb_a_pos	-0.703	-0.291
410.002	10.000	feel	n/a	n/a
420.002	3.999	fb_a_pos	-0.534	-0.280
424.001	10.001	feel	n/a	n/a
434.002	3.999	fb_a_pos	0.071	0.037
438.001	10.000	feel	n/a	n/a
448.001	4.001	fb_a_pos	-0.354	0.086
452.002	9.999	rest	n/a	n/a
462.001	4.001	fb_v_neg	0.000	0.000
466.002	10.000	feel	n/a	n/a
476.002	4.000	fb_v_neg	-0.571	0.049
480.002	9.999	feel	n/a	n/a
490.001	4.000	fb_v_neg	-0.154	-0.194
494.001	10.000	feel	n/a	n/a
504.001	3.999	fb_v_neg	0.469	0.080
508.000	10.003	feel	n/a	n/a
518.003	3.999	fb_v_neg	-0.329	-0.329
522.002	9.999	rest	n/a	n/a
532.001	4.001	fb_a_neg	0.000	0.000
536.002	9.999	feel	n/a	n/a
546.001	4.000	fb_a_neg	0.366	0.091
550.001	10.000	feel	n/a	n/a
560.001	4.000	fb_a_neg	-0.754	-0.403
564.001	10.001	feel	n/a	n/a
574.002	4.000	fb_a_neg	-0.146	-0.246
578.002	10.000	feel	n/a	n/a
588.002	3.999	fb_a_neg	-0.691	0.057
592.001	27.999	finish	n/a	n/a
